price,floor,floors_count,rooms_count,total_m2,price_per_m2,year_of_construction,living_m2,kitchen_m2,district,underground,city
76736842,2,5,1,72.9,1052631,2019,45.85868263473054,14.677022274325909,арбат,смоленская,москва
29400000,3,6,1,43.1,682134,1961,45.85868263473054,14.677022274325909,хамовники,спортивная,москва
75800000,7,8,1,75.8,1000000,2019,45.85868263473054,14.677022274325909,арбат,арбатская,москва
19000000,23,55,1,43.34,438394,2024,14.0,5.0,марьина роща,марьина роща,москва
10181547,8,9,1,38.4,265144,2025,12.0,14.677022274325909,unspecified,боровское шоссе,москва
16500000,8,32,1,32.5,507692,2023,45.85868263473054,13.0,хорошево-мневники,шелепиха,москва
11680080,24,68,3,202.0,57822,2027,15.0,10.0,печатники,кожуховская,москва
20990000,15,23,1,36.1,581440,2023,14.0,11.0,хорошево-мневники,хорошёво,москва
10777220,8,15,1,34.4,313291,2024,12.0,11.0,unspecified,прокшино,москва
23000000,6,51,1,47.6,483193,2020,45.85868263473054,14.677022274325909,раменки,раменки,москва
17362174,3,18,1,43.6,398215,2024,25.0,13.0,филевский парк,фили,москва
17510000,5,55,1,41.33,423663,2024,45.85868263473054,14.677022274325909,марьина роща,марьина роща,москва
20017029,28,33,3,202.0,99094,2023,15.0,10.0,хорошево-мневники,шелепиха,москва
31000000,5,19,1,70.2,441595,2025,45.85868263473054,20.0,хорошево-мневники,терехово ,москва
24709303,15,57,1,47.82,516714,2023,45.85868263473054,14.677022274325909,филевский парк,фили,москва
33500000,9,26,1,46.2,725108,2021,45.85868263473054,16.0,очаково-матвеевское,минская,москва
11320046,16,16,1,36.3,311846,2022,13.0,10.0,unspecified,прокшино,москва
30000000,18,22,1,46.0,652173,2018,45.85868263473054,14.677022274325909,тимирязевский,тимирязевская,москва
18426333,16,25,1,39.69,464256,2025,12.0,16.0,нагатино-садовники,нагатинская,москва
15900000,3,21,1,41.6,382211,2012,18.0,12.0,хорошево-мневники,зорге,москва
7497385,2,18,1,22.3,336205,2025,7.0,6.0,unspecified,бульвар адмирала ушакова,москва
17999000,18,27,1,40.0,449975,2017,20.0,12.0,очаково-матвеевское,озёрная,москва
30750000,10,14,1,44.5,691011,2023,14.0,21.0,раменки,минская,москва
17800000,20,57,1,43.52,409007,2024,15.0,17.0,марьина роща,марьина роща,москва
17186130,12,17,1,39.7,432899,2025,15.0,12.0,савеловский,гражданская,москва
23500000,2,14,1,45.4,517621,2012,45.85868263473054,21.0,раменки,минская,москва
17122155,4,29,3,202.0,84763,2025,11.0,13.0,печатники,печатники,москва
14990000,7,12,1,31.8,471383,1971,45.85868263473054,8.0,раменки,раменки,москва
17522113,5,17,3,202.0,86743,2025,16.0,9.0,басманный,электрозаводская,москва
18500000,22,30,1,37.0,500000,2020,12.0,15.0,тимирязевский,дмитровская,москва
18336000,28,34,1,38.4,477500,2023,45.85868263473054,14.677022274325909,обручевский,воронцовская,москва
95000000,51,75,1,123.0,772357,2013,69.0,15.0,пресненский,деловой центр,москва
21479816,4,13,1,39.8,539693,2024,22.0,3.0,даниловский,тульская,москва
8200000,2,4,1,40.0,205000,2021,45.85868263473054,10.0,unspecified,филатов луг,москва
9071331,8,10,1,33.2,273232,2024,11.0,13.0,unspecified,коммунарка,москва
18000000,5,22,1,37.5,480000,2021,25.0,10.0,останкинский,алексеевская,москва
9769809,3,20,1,48.5,201439,2024,12.0,14.677022274325909,unspecified,рассказовка,москва
115000000,37,86,1,170.0,676470,2016,45.85868263473054,14.677022274325909,пресненский,международная,москва
21711723,3,16,3,202.0,107483,2025,16.0,9.0,сокол,зорге,москва
19800000,22,58,1,40.0,495000,2021,12.0,18.0,тимирязевский,дмитровская,москва
8809587,3,17,1,38.2,230617,2025,13.0,12.0,unspecified,бунинская аллея,москва
23000000,5,14,1,44.1,521541,2021,45.85868263473054,14.677022274325909,раменки,минская,москва
17765550,19,27,3,202.0,87948,2025,15.0,12.0,покровское-стрешнево,трикотажная,москва
16980000,11,30,1,45.6,372368,2012,12.0,19.0,богородское,бульвар рокоссовского,москва
20754193,8,22,1,48.6,427041,2023,45.85868263473054,17.0,останкинский,вднх,москва
16100000,2,30,1,30.7,524429,2023,15.0,10.0,хорошево-мневники,хорошёво,москва
21109410,2,29,3,202.0,104502,2023,9.0,13.0,ростокино,ботанический сад,москва
18750000,13,24,1,39.0,480769,2023,45.85868263473054,14.677022274325909,хорошево-мневники,шелепиха,москва
10812566,17,18,1,36.1,299517,2024,12.0,14.0,unspecified,коммунарка,москва
14080000,2,3,1,44.0,320000,2012,45.85868263473054,14.677022274325909,преображенское,преображенская площадь,москва
13332433,6,19,1,41.7,319722,2024,45.85868263473054,14.677022274325909,богородское,бульвар рокоссовского,москва
8506500,4,5,1,32.1,265000,2022,45.85868263473054,14.677022274325909,восточное измайлово,первомайская,москва
14346459,1,8,1,37.3,384623,2024,45.85868263473054,14.677022274325909,савеловский,петровский парк,москва
28500000,28,41,1,46.0,619565,2023,23.0,18.0,хорошево-мневники,шелепиха,москва
16306920,11,21,1,37.68,432773,2023,11.0,16.0,хорошевский,зорге,москва
8800000,2,12,1,34.8,252873,1968,19.0,9.0,богородское,бульвар рокоссовского,москва
18160000,10,28,1,35.71,508541,2024,11.0,17.0,марфино,бутырская,москва
10700000,8,9,1,33.1,323262,1967,17.0,8.0,коньково,коньково,москва
19942793,17,35,1,44.8,445151,2026,45.85868263473054,14.677022274325909,даниловский,технопарк,москва
20800000,24,24,1,32.0,650000,2020,18.0,9.0,хорошево-мневники,шелепиха,москва
9156965,2,30,1,35.6,257218,2025,12.0,12.0,южное бутово,бунинская аллея,москва
16000000,7,16,1,50.0,320000,2023,38.0,6.0,лефортово,площадь ильича,москва
9202027,20,20,1,34.12,269695,2025,15.0,10.0,чертаново южное,красный строитель,москва
15200000,9,58,1,32.0,475000,2022,12.0,13.0,хорошево-мневники,народное ополчение,москва
10377811,11,17,1,32.6,318337,2024,10.0,12.0,текстильщики,текстильщики,москва
19100000,18,58,1,42.4,450471,2021,16.0,20.0,хорошево-мневники,народное ополчение,москва
10615786,16,19,1,32.6,325637,2025,9.0,16.0,тимирязевский,окружная,москва
