price,floor,floors_count,rooms_count,total_m2,price_per_m2,year_of_construction,living_m2,kitchen_m2,district,underground,city
9696000,2,4,1,30.3,320000,2025,0.0,0.0,вахитовский,площадь тукая,казань
1800000,4,5,1,12.0,150000,1960,8.0,3.0,ново-савиновский,яшьлек,казань
3900000,5,18,1,23.6,165254,2026,0.0,0.0,приволжский,аметьево,казань
2250000,1,5,1,24.6,91463,1965,14.0,5.0,московский,московский,казань
9796771,12,24,1,31.57,310319,2024,13.0,5.0,ново-савиновский,козья слобода,казань
4100000,2,25,1,29.3,139931,2022,20.0,0.0,кировский,северный вокзал,казань
3739856,2,10,1,25.73,145350,2024,9.0,6.0,unspecified,unspecified,казань
