price,floor,floors_count,rooms_count,total_m2,price_per_m2,year_of_construction,living_m2,kitchen_m2,district,underground,city
47000000,11,14,5,196.7,238942,2006,102.0,22.0,василеостровский,приморская,spb
25000000,3,6,5,144.1,173490,1913,96.0,19.0,адмиралтейский,технологический институт,spb
22000000,3,5,5,113.3,194174,1905,75.0,10.0,адмиралтейский,технологический институт,spb
18990000,5,7,5,116.6,162864,1914,70.0,10.0,центральный,лиговский проспект,spb
124900000,11,11,5,317.0,394006,2016,97.0,81.0,петроградский,спортивная,spb
22900000,3,6,5,152.8,149869,1946,108.0,0.0,центральный,площадь александра невского,spb
41500000,8,26,5,158.1,262492,2010,0.0,0.0,василеостровский,приморская,spb
59000000,2,5,5,174.0,339080,1903,110.0,30.0,центральный,площадь александра невского,spb
29950000,4,6,5,130.1,230207,1911,94.0,11.0,петроградский,чкаловская,spb
49300000,2,9,5,205.0,240487,2006,112.0,30.0,василеостровский,приморская,spb
64000000,8,12,5,170.0,376470,2006,71.0,37.0,петроградский,петроградская,spb
30750000,2,7,5,131.0,234732,1911,90.0,9.0,центральный,достоевская,spb
15800000,13,25,5,118.0,133898,2012,76.0,11.0,красносельский,автово,spb
32500000,2,4,5,282.6,115003,2016,151.0,72.0,приморский,озерки,spb
26000000,1,4,5,133.1,195341,2019,103.0,25.0,петродворцовый,петродворцовый,spb
28400000,2,3,5,154.7,183581,2022,84.0,12.0,пушкинский,звездная,spb
37700000,3,16,5,183.0,206010,2008,89.0,21.0,московский,звездная,spb
18800000,4,5,5,195.9,95967,2013,84.0,38.0,курортный,беговая,spb
117600000,1,6,5,196.0,600000,2020,102.0,20.0,петроградский,крестовский остров,spb
117600000,2,7,5,196.0,600000,2020,102.0,18.0,петроградский,крестовский остров,spb
35000000,1,6,5,126.0,277777,1849,67.0,20.0,адмиралтейский,адмиралтейская,spb
15999000,5,6,5,153.0,104568,1847,83.0,18.0,центральный,лиговский проспект,spb
18999900,2,6,5,151.8,125164,1912,89.0,9.0,центральный,чернышевская,spb
44990000,5,10,5,126.2,356497,2014,59.0,40.0,василеостровский,приморская,spb
12500000,1,12,5,100.0,125000,1991,69.0,10.0,приморский,старая деревня,spb
19800000,1,5,5,167.7,118067,1899,102.0,22.0,василеостровский,приморская,spb
285000000,7,11,5,420.1,678409,2009,148.0,34.0,центральный,чернышевская,spb
